date;open;close;adjClose;high;low;volume
12.03.2010;10611.769531;10624.69043;10624.69043;10644.950195;10594.839844;166140000
15.03.2010;10623.410156;10642.150391;10642.150391;10644.19043;10570.509766;160570000
16.03.2010;10642.530273;10685.980469;10685.980469;10693.990234;10621.900391;227410000
17.03.2010;10686.360352;10733.669922;10733.669922;10767.980469;10686.360352;194190000
18.03.2010;10733.44043;10779.169922;10779.169922;10784;10728.150391;153280000
19.03.2010;10780;10741.980469;10741.980469;10819.900391;10694.219727;434190000
22.03.2010;10741;10785.889648;10785.889648;10809.849609;10695.129883;157200000
23.03.2010;10787.179688;10888.830078;10888.830078;10893.889648;10784.759766;189140000
24.03.2010;10887.620117;10836.150391;10836.150391;10887.839844;10825.419922;195570000
25.03.2010;10837.509766;10841.209961;10841.209961;10955.480469;10834.19043;200330000
26.03.2010;10841.290039;10850.360352;10850.360352;10909.379883;10816.429688;175490000
29.03.2010;10849.230469;10895.860352;10895.860352;10916.639648;10849.230469;136710000
30.03.2010;10895.019531;10907.419922;10907.419922;10940.219727;10866.830078;148810000
31.03.2010;10907.339844;10856.629883;10856.629883;10907.419922;10832.830078;197060000
01.04.2010;10857.30957;10927.070313;10927.070313;10956.389648;10857.30957;159520000
05.04.2010;10927.450195;10973.549805;10973.549805;10988.05957;10923.969727;139480000
06.04.2010;10972.490234;10969.990234;10969.990234;10987.379883;10927.519531;159960000
07.04.2010;10961.950195;10897.519531;10897.519531;10962.660156;10845.450195;187000000
08.04.2010;10896.990234;10927.070313;10927.070313;10949.360352;10844.089844;158930000
09.04.2010;10926.919922;10997.349609;10997.349609;11000.980469;10926.919922;150660000
12.04.2010;10996.75;11005.969727;11005.969727;11029.769531;10992.209961;153960000
13.04.2010;11006.719727;11019.419922;11019.419922;11038.919922;10947.769531;183950000
14.04.2010;11020.700195;11123.110352;11123.110352;11125.219727;11020.629883;223920000
15.04.2010;11122.959961;11144.570313;11144.570313;11154.549805;11096.200195;203720000
16.04.2010;11143.660156;11018.660156;11018.660156;11153.790039;10973.919922;373950000
19.04.2010;11018.360352;11092.049805;11092.049805;11095.299805;10977.849609;214850000
20.04.2010;11093.110352;11117.05957;11117.05957;11146.080078;11081.469727;175170000
21.04.2010;11116.910156;11124.919922;11124.919922;11153.719727;11071.339844;188880000
22.04.2010;11119.780273;11134.290039;11134.290039;11149.860352;11016.400391;214700000
23.04.2010;11132.179688;11204.280273;11204.280273;11205.639648;11105.650391;207380000
26.04.2010;11205.110352;11205.030273;11205.030273;11258.009766;11187.650391;191920000
27.04.2010;11203.669922;10991.990234;10991.990234;11218.860352;10973.169922;263400000
28.04.2010;10988.870117;11045.269531;11045.269531;11078.519531;10965.379883;236760000
29.04.2010;11045.639648;11167.320313;11167.320313;11197.320313;11041.639648;194310000
30.04.2010;11168.230469;11008.610352;11008.610352;11197.929688;10999.69043;255130000
03.05.2010;11009.599609;11151.830078;11151.830078;11177.669922;11009.599609;178080000
04.05.2010;11149.480469;10926.769531;10926.769531;11149.480469;10869.25;242100000
05.05.2010;10918.400391;10866.830078;10866.830078;10946.790039;10814.839844;218830000
06.05.2010;10868.120117;10520.320313;10520.320313;10879.759766;9869.620117;459890000
07.05.2010;10519.419922;10380.429688;10380.429688;10579.120117;10241.230469;428730000
10.05.2010;10386.179688;10785.139648;10785.139648;10835.169922;10386.030273;313350000
11.05.2010;10780;10748.259766;10748.259766;10874.540039;10685.379883;223950000
12.05.2010;10742.150391;10896.910156;10896.910156;10909.080078;10742.150391;196630000
13.05.2010;10896.610352;10782.950195;10782.950195;10920.269531;10771.69043;201480000
14.05.2010;10780.679688;10620.160156;10620.160156;10780.75;10537.25;256500000
17.05.2010;10616.980469;10625.830078;10625.830078;10660.969727;10436.05957;221910000
18.05.2010;10625.450195;10510.950195;10510.950195;10718.860352;10482.200195;246370000
19.05.2010;10505.700195;10444.370117;10444.370117;10522.519531;10324.660156;266340000
20.05.2010;10440.209961;10068.009766;10068.009766;10440.209961;10065.360352;360350000
21.05.2010;10063.929688;10193.389648;10193.389648;10198.530273;9918.820313;438220000
24.05.2010;10193.459961;10066.570313;10066.570313;10196.410156;10052.669922;211430000
25.05.2010;10061.429688;10043.75;10043.75;10061.660156;9774.480469;316960000
26.05.2010;10045.110352;9974.450195;9974.450195;10179.030273;9952.679688;316080000
27.05.2010;9971.730469;10258.990234;10258.990234;10264.200195;9971.730469;264770000
28.05.2010;10258;10136.629883;10136.629883;10258;10095.900391;243720000
01.06.2010;10133.94043;10024.019531;10024.019531;10218.330078;10013.900391;221900000
02.06.2010;10025.610352;10249.540039;10249.540039;10254.219727;10025.610352;200850000
03.06.2010;10250.669922;10255.280273;10255.280273;10315.209961;10175.019531;176870000
04.06.2010;10249.610352;9931.969727;9931.969727;10249.69043;9889.879883;256600000
